日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
2015年11月,"18,827.11","19,994.05","18,641.22","19,747.47","1,539.44","1,609.76","1,523.34","1,580.25",98.1 ,122.83,0.817,-3.7,,2015年11月,,,,,,,,,,
2015年10月,"17,479.97","19,202.34","17,389.57","19,083.10","1,422.36","1,570.06","1,414.20","1,558.20",98.5 ,120.74,0.869,-3.8,,2015年10月,,,,,,,,,,
2015年9月,"18,763.72","18,777.47","16,901.49","17,388.15","1,526.67","1,528.57","1,371.44","1,411.16",98.5 ,120.03,0.804,-4,,2015年9月,,,,,,,,,,
2015年8月,"20,540.21","20,946.93","17,714.30","18,890.48","1,659.68","1,702.83","1,410.94","1,537.05",98.4 ,121.19,0.915,-3.8,,2015年8月,,,,,,,,,,
2015年7月,"20,291.05","20,850.00","19,115.20","20,585.24","1,635.06","1,674.27","1,526.09","1,659.52",98.3 ,124.22,0.929,-3.2,,2015年7月,,,,,,,,,,
2015年6月,"20,444.54","20,952.71","19,990.55","20,235.73","1,662.55","1,686.61","1,616.66","1,630.40",98.4 ,122.25,0.801,-2.4,,2015年6月,,,,,,,,,,
2015年5月,"19,510.85","20,655.33","19,257.85","20,563.15","1,587.07","1,680.39","1,571.43","1,673.65",98.7 ,123.75,0.863,-2.2,,2015年5月,,,,,,,,,,
2015年4月,"19,129.75","20,252.12","18,927.95","19,520.01","1,536.70","1,633.81","1,519.41","1,592.79",98.4 ,118.91,0.862,-2.1,,2015年4月,,,,,,,,,,
2015年3月,"18,869.40","19,778.60","18,577.06","19,206.99","1,528.77","1,594.71","1,504.45","1,543.11",97.9 ,120.21,0.805,0.7,,2015年3月,,,,,,,,,,
2015年2月,"17,536.61","18,865.39","17,271.87","18,797.94","1,402.52","1,529.20","1,387.38","1,523.85",97.6 ,119.29,0.917,0.4,,2015年2月,,,,,,,,,,
2015年1月,"17,325.68","17,850.59","16,592.57","17,674.39","1,400.87","1,433.35","1,343.29","1,415.07",97.8 ,117.9,0.936,0.3,,2015年1月,,,,,,,,,,
2014年12月,"17,475.10","18,030.83","16,672.94","17,450.77","1,413.60","1,454.22","1,346.37","1,407.51",97.9 ,119.8,0.932,1.8,,2014年12月,,,,,,,,,,
2014年11月,"16,732.85","17,520.54","16,713.37","17,459.85","1,358.97","1,413.27","1,353.42","1,410.34",97.9 ,118.22,0.887,2.6,,2014年11月,,,,,,,,,,
2014年10月,"16,173.39","16,533.91","14,529.03","16,413.76","1,325.55","1,338.35","1,177.22","1,333.64",98.2 ,111.23,0.951,2.8,,2014年10月,,,,,,,,,,
2014年9月,"15,454.59","16,374.14","15,440.99","16,173.52","1,280.54","1,346.43","1,279.52","1,326.29",98.5 ,109.42,0.808,3.6,,2014年9月,,,,,,,,,,
2014年8月,"15,511.54","15,628.78","14,753.84","15,424.59","1,279.09","1,296.02","1,224.85","1,277.97",98.3 ,103.83,0.997,4,,2014年8月,,,,,,,,,,
2014年7月,"15,179.64","15,759.66","15,101.49","15,620.77","1,265.32","1,300.53","1,247.66","1,289.42",98.1 ,102.87,0.99,4.4,,2014年7月,,,,,,,,,,
2014年6月,"14,777.51","15,442.67","14,777.51","15,162.10","1,210.82","1,273.80","1,210.82","1,262.56",98.0 ,101.39,0.82,4.5,,2014年6月,,,,,,,,,,
2014年5月,"14,341.09","14,744.16","13,964.43","14,632.38","1,167.25","1,205.60","1,143.63","1,201.41",98.1 ,101.64,1.062,4.4,,2014年5月,,,,,,,,,,
2014年4月,"14,870.51","15,164.39","13,885.11","14,304.11","1,207.63","1,223.26","1,121.50","1,162.44",97.7 ,102.51,0.905,4.2,,2014年4月,,,,,,,,,,
2014年3月,"14,666.93","15,312.60","14,203.21","14,827.83","1,197.77","1,241.88","1,145.90","1,202.89",95.7 ,102.98,0.872,1.7,,2014年3月,,,,,,,,,,
2014年2月,"14,788.56","15,094.54","13,995.86","14,841.07","1,212.97","1,234.54","1,139.27","1,211.66",95.5 ,101.66,1.031,1.8,,2014年2月,,,,,,,,,,
2014年1月,"16,147.54","16,164.01","14,764.57","14,914.53","1,297.79","1,308.08","1,211.22","1,220.64",95.5 ,102.49,0.973,2.5,,2014年1月,,,,,,,,,,
2013年12月,"15,659.74","16,320.22","15,112.54","16,291.31","1,260.97","1,302.87","1,222.20","1,302.29",95.6 ,105.37,0.927,2.5,,2013年12月,,,,,,,,,,
2013年11月,"14,403.07","15,729.09","14,026.17","15,661.87","1,199.68","1,261.04","1,171.20","1,258.66",95.5 ,102.24,1.11,2.6,,2013年11月,,,,,,,,,,
2013年10月,"14,517.98","14,799.28","13,748.94","14,327.94","1,198.18","1,222.56","1,138.75","1,194.26",95.5 ,98.34,1.021,2.5,,2013年10月,,,,,,,,,,
2013年9月,"13,438.07","14,817.50","13,407.53","14,455.80","1,109.41","1,223.12","1,107.90","1,194.10",95.4 ,97.89,0.911,2.3,,2013年9月,,,,,,,,,,
2013年8月,"13,674.50","14,466.16","13,188.14","13,388.86","1,134.84","1,196.17","1,103.94","1,106.05",95.1 ,98.06,1.089,2.3,,2013年8月,,,,,,,,,,
2013年7月,"13,746.72","14,953.29","13,562.70","13,668.32","1,143.96","1,232.02","1,127.01","1,131.70",94.8 ,97.85,0.95,2.1,,2013年7月,,,,,,,,,,
2013年6月,"13,551.36","13,724.44","12,415.85","13,677.32","1,122.10","1,139.76","1,033.02","1,133.84",94.6 ,98.83,0.956,1.2,,2013年6月,,,,,,,,,,
2013年5月,"13,837.72","15,942.60","13,555.66","13,774.54","1,164.31","1,289.77","1,129.07","1,135.78",94.6 ,100.63,1.158,0.6,,2013年5月,,,,,,,,,,
2013年4月,"12,371.34","13,983.87","11,805.78","13,860.86","1,031.75","1,176.36",971.33,"1,165.13",94.5 ,97.83,0.962,0.1,,2013年4月,,,,,,,,,,
2013年3月,"11,464.71","12,650.26","11,464.71","12,397.91",971.99,"1,061.75",971.22,"1,034.71",94.2 ,94.04,0.909,-0.5,,2013年3月,,,,,,,,,,
2013年2月,"11,193.72","11,662.52","11,046.92","11,559.36",945.54,981.8,930.04,975.66,94.0 ,92.36,1.111,-0.1,,2013年2月,,,,,,,,,,
2013年1月,"10,604.50","11,145.38","10,398.61","11,138.66",876.97,942.08,862.62,940.25,94.2 ,90.92,1.119,-0.4,,2013年1月,,,,,,,,,,
2012年12月,"9,484.20","10,433.63","9,376.97","10,395.18",785.48,861.57,776.83,859.8,94.1 ,86.32,1,-0.7,,2012年12月,,,,,,,,,,
2012年11月,"8,931.71","9,492.91","8,619.45","9,446.01",743.02,787.74,718.36,781.46,94.1 ,82.63,1.146,-1.1,,2012年11月,,,,,,,,,,
2012年10月,"8,815.07","9,075.59","8,488.14","8,928.29",732.78,757.59,710.32,742.33,94.4 ,79.73,1.047,-1.1,,2012年10月,,,,,,,,,,
2012年9月,"8,836.61","9,288.53","8,646.03","8,870.16",731.87,769.54,715.05,737.42,94.4 ,77.58,1.04,-1.5,,2012年9月,,,,,,,,,,
2012年8月,"8,622.04","9,222.87","8,513.20","8,839.91",731.11,769.79,720.03,731.64,94.3 ,78.46,1.186,-2,,2012年8月,,,,,,,,,,
2012年7月,"9,103.79","9,136.02","8,328.02","8,695.06",778.66,781.94,703.31,736.31,94.1 ,78.28,1.099,-2.2,,2012年7月,,,,,,,,,,
2012年6月,"8,465.47","9,044.04","8,238.96","9,006.78",712.18,773.21,692.18,770.08,94.4 ,79.61,1.011,-1.5,,2012年6月,,,,,,,,,,
2012年5月,"9,471.66","9,472.25","8,455.13","8,542.73",801.76,801.97,711.38,719.49,94.9 ,78.81,1.207,-0.9,,2012年5月,,,,,,,,,,
2012年4月,"10,161.72","10,190.35","9,388.14","9,520.89",862.07,863.23,800.55,804.27,95.2 ,80.74,1.07,-0.7,,2012年4月,,,,,,,,,,
2012年3月,"9,771.34","10,255.15","9,509.10","10,083.56",840.23,872.42,815.85,854.35,95.1 ,82.17,0.966,0.3,,2012年3月,,,,,,,,,,
2012年2月,"8,789.06","9,866.41","8,780.10","9,723.24",755.1,847.83,754.84,835.96,94.7 ,80.49,1.137,0.4,,2012年2月,,,,,,,,,,
2012年1月,"8,549.54","8,911.62","8,349.33","8,802.51",737.52,769.36,722.85,755.27,94.5 ,76.3,1.108,0.3,,2012年1月,,,,,,,,,,
2011年12月,"8,581.20","8,729.81","8,272.26","8,455.35",740.7,750.61,712.27,728.61,94.3 ,77.57,1.08,0.8,,2011年12月,,,,,,,,,,
2011年11月,"8,880.75","8,946.00","8,135.79","8,434.61",757.77,761.04,703.88,728.46,94.2 ,78.01,1.325,1.3,,2011年11月,,,,,,,,,,
2011年10月,"8,567.98","9,152.39","8,343.01","8,988.39",748.8,779.08,724.77,764.06,94.8 ,78.81,1.063,1.3,,2011年10月,,,,,,,,,,
2011年9月,"9,017.01","9,098.15","8,359.70","8,700.29",776.04,780.99,727.33,761.17,94.7 ,76.7,1.11,2,,2011年9月,,,,,,,,,,
2011年8月,"9,907.04","10,040.13","8,619.21","8,955.20",847.12,858.53,740.51,770.6,94.7 ,76.58,1.07,2.2,,2011年8月,,,,,,,,,,
2011年7月,"9,878.69","10,207.91","9,824.34","9,833.03",854.83,879.48,841.37,841.37,94.6 ,77.59,1.195,2.2,,2011年7月,,,,,,,,,,
2011年6月,"9,708.05","9,849.69","9,318.62","9,816.09",839.41,850.32,801.78,849.22,94.6 ,80.42,1.081,1.9,,2011年6月,,,,,,,,,,
2011年5月,"9,964.39","10,017.47","9,406.04","9,693.73",861.6,866.65,812.52,838.48,94.7 ,81.6,1.196,1.6,,2011年5月,,,,,,,,,,
2011年4月,"9,757.28","9,849.74","9,405.19","9,849.74",870.96,874.35,824.61,851.85,94.7 ,81.6,1.126,1.8,,2011年4月,,,,,,,,,,
2011年3月,"10,676.24","10,768.43","8,227.63","9,755.10",956.34,964.18,725.9,869.38,94.6 ,82.84,1.081,1.3,,2011年3月,,,,,,,,,,
2011年2月,"10,281.55","10,891.60","10,245.75","10,624.09",914.34,976.28,910.82,951.27,94.4 ,81.68,1.095,0.7,,2011年2月,,,,,,,,,,
2011年1月,"10,352.19","10,620.57","10,182.57","10,237.92",909.44,939.7,904.25,910.08,94.4 ,82.04,1.161,0.6,,2011年1月,,,,,,,,,,
2010年12月,"9,939.80","10,394.22","9,918.55","10,228.92",860.7,909.67,858.87,898.8,94.5 ,81.51,1.192,1.2,,2010年12月,,,,,,,,,,
2010年11月,"9,166.85","10,157.97","9,123.62","9,937.04",806.55,878.64,799.64,860.94,94.7 ,84.03,1.095,0.9,,2010年11月,,,,,,,,,,
2010年10月,"9,440.52","9,716.92","9,179.15","9,202.45",833.46,850.13,803.54,810.91,95.0 ,80.68,1.228,0.9,,2010年10月,,,,,,,,,,
2010年9月,"8,833.32","9,704.25","8,796.45","9,369.35",804.25,858.77,800.69,829.51,94.7 ,83.32,1.209,-0.1,,2010年9月,,,,,,,,,,
2010年8月,"9,574.64","9,750.88","8,807.41","8,824.06",851.45,864.25,803.78,804.67,94.5 ,84.24,1.169,0,,2010年8月,,,,,,,,,,
2010年7月,"9,296.86","9,807.36","9,091.70","9,537.30",834.72,874.25,822.02,849.5,94.4 ,86.37,1.229,-0.1,,2010年7月,,,,,,,,,,
2010年6月,"9,747.26","10,251.90","9,347.07","9,382.64",879.43,904.03,835.91,841.42,94.9 ,88.66,1.127,0.5,,2010年6月,,,,,,,,,,
2010年5月,"10,847.90","10,847.90","9,395.29","9,768.70",970.44,970.46,850.88,880.46,95.1 ,91.49,1.121,0.4,,2010年5月,,,,,,,,,,
2010年4月,"11,178.92","11,408.17","10,865.92","11,057.40",983.99,"1,001.77",968.79,987.04,95.1 ,94.18,1.356,-0.2,,2010年4月,,,,,,,,,,
2010年3月,"10,128.73","11,147.62","10,116.86","11,089.94",895.23,984.06,893.81,978.81,95.1 ,93.27,1.284,-1.3,,2010年3月,,,,,,,,,,
2010年2月,"10,212.36","10,449.75","9,867.39","10,126.03",900.38,921.9,876.77,894.1,94.9 ,89.34,1.19,-1.6,,2010年2月,,,,,,,,,,
2010年1月,"10,609.34","10,982.10","10,198.04","10,198.04",912.48,966.4,901.12,901.12,94.9 ,90.19,1.338,-2.1,,2010年1月,,,,,,,,,,
2009年12月,"9,281.82","10,707.51","9,233.20","10,546.44",833.52,920.54,829.56,907.59,94.8 ,92.13,1.262,-3.8,,2009年12月,,,,,,,,,,
2009年11月,"9,903.77","9,979.46","9,076.41","9,345.55",884.08,884.08,809.24,839.94,95.0 ,86.15,1.23,-5,,2009年11月,,,,,,,,,,
2009年10月,"10,072.64","10,397.69","9,628.67","10,034.74",905.39,914.96,863.78,894.67,95.2 ,91.11,1.39,-6.8,,2009年10月,,,,,,,,,,
2009年9月,"10,453.37","10,577.19","9,971.05","10,133.23",962.29,971.91,898.08,909.84,95.6 ,89.76,1.367,-7.9,,2009年9月,,,,,,,,,,
2009年8月,"10,355.23","10,767.00","10,142.22","10,492.53",953.53,987.27,938.81,965.73,95.6 ,92.78,1.363,-8.5,,2009年8月,,,,,,,,,,
2009年7月,"9,889.34","10,359.07","9,050.33","10,356.83",924.18,950.38,852.11,950.26,95.3 ,95.61,1.431,-8.4,,2009年7月,,,,,,,,,,
2009年6月,"9,517.49","10,170.82","9,491.26","9,958.44",898.35,954.08,895.56,929.76,95.6 ,95.56,1.266,-6.8,,2009年6月,,,,,,,,,,
2009年5月,"8,848.84","9,522.50","8,827.13","9,522.50",840.13,906.47,837.68,897.91,95.8 ,96.45,1.309,-5.6,,2009年5月,,,,,,,,,,
2009年4月,"8,173.36","9,068.80","8,084.62","8,828.26",780.51,856.08,778.21,837.79,96.0 ,97.67,1.47,-4.1,,2009年4月,,,,,,,,,,
2009年3月,"7,454.28","8,843.18","7,021.28","8,109.53",745.74,845.64,698.46,773.66,95.9 ,98.31,1.377,-2.6,,2009年3月,,,,,,,,,,
2009年2月,"7,908.51","8,257.71","7,155.16","7,568.42",785.66,803.6,717.85,756.71,95.6 ,97.87,1.373,-2,,2009年2月,,,,,,,,,,
2009年1月,"8,991.21","9,325.35","7,671.04","7,994.05",871.01,896.21,767.82,794.03,95.9 ,89.51,1.545,-0.9,,2009年1月,,,,,,,,,,
2008年12月,"8,464.36","8,859.56","7,849.84","8,859.56",832.62,859.66,782.16,859.24,96.4 ,90.28,1.454,0.9,,2008年12月,,,,,,,,,,
2008年11月,"8,702.77","9,521.24","7,406.18","8,512.27",878.43,966.91,753.91,834.82,96.8 ,95.31,1.618,2.4,,2008年11月,,,,,,,,,,
2008年10月,"11,396.61","11,456.64","6,994.90","8,576.98","1,099.34","1,107.68",721.53,867.12,97.7 ,97.01,1.684,4.5,,2008年10月,,,,,,,,,,
2008年9月,"12,936.81","12,940.55","11,160.83","11,259.86","1,242.10","1,242.10","1,069.69","1,087.41",97.8 ,104.76,1.551,6.9,,2008年9月,,,,,,,,,,
2008年8月,"13,276.57","13,468.81","12,631.94","13,072.87","1,294.38","1,296.07","1,212.95","1,254.71",97.8 ,108.8,1.587,7.5,,2008年8月,,,,,,,,,,
2008年7月,"13,514.86","13,603.31","12,671.34","13,376.81","1,324.11","1,334.52","1,240.91","1,303.62",97.5 ,108.13,1.675,7.5,,2008年7月,,,,,,,,,,
2008年6月,"14,342.96","14,601.27","13,453.35","13,481.38","1,409.09","1,449.14","1,311.35","1,320.10",97.3 ,105.33,1.554,5.8,,2008年6月,,,,,,,,,,
2008年5月,"13,802.59","14,392.53","13,540.68","14,338.54","1,352.77","1,411.87","1,327.21","1,408.14",96.8 ,105.46,1.629,4.9,,2008年5月,,,,,,,,,,
2008年4月,"12,539.80","14,003.28","12,521.84","13,849.99","1,218.64","1,372.96","1,214.92","1,358.65",96.0 ,104.05,1.65,4,,2008年4月,,,,,,,,,,
2008年3月,"13,412.87","13,413.63","11,691.00","12,525.54","1,306.80","1,307.03","1,139.62","1,212.96",96.1 ,99.37,1.583,4,,2008年3月,,,,,,,,,,
2008年2月,"13,517.74","14,105.47","12,923.42","13,603.02","1,342.54","1,372.82","1,274.08","1,324.28",95.7 ,104.34,1.554,3.6,,2008年2月,,,,,,,,,,
2008年1月,"15,155.73","15,156.66","12,572.68","13,592.47","1,461.23","1,461.31","1,219.95","1,346.31",95.9 ,106.63,1.677,3,,2008年1月,,,,,,,,,,
2007年12月,"15,747.47","16,107.65","14,998.01","15,307.78","1,543.17","1,578.39","1,447.54","1,475.68",96.0 ,113.12,1.613,2.6,,2007年12月,,,,,,,,,,
2007年11月,"16,812.90","16,887.04","14,669.85","15,680.67","1,626.51","1,638.71","1,417.47","1,531.88",95.9 ,110.29,1.799,2.3,,2007年11月,,,,,,,,,,
2007年10月,"16,773.10","17,488.97","16,199.02","16,737.63","1,614.23","1,679.71","1,539.09","1,620.07",96.0 ,114.78,1.699,2,,2007年10月,,,,,,,,,,
2007年9月,"16,511.07","16,929.26","15,610.65","16,785.69","1,605.66","1,622.49","1,506.19","1,616.62",95.8 ,115.27,1.693,1.3,,2007年9月,,,,,,,,,,
2007年8月,"17,169.20","17,274.33","15,262.10","16,569.09","1,698.33","1,698.33","1,479.82","1,608.25",95.8 ,116.24,1.826,1.6,,2007年8月,,,,,,,,,,
2007年7月,"18,139.04","18,295.27","17,042.66","17,248.89","1,776.80","1,796.89","1,676.69","1,706.18",95.3 ,118.99,1.682,1.8,,2007年7月,,,,,,,,,,
2007年6月,"17,949.92","18,297.00","17,591.93","18,138.36","1,763.96","1,793.61","1,731.41","1,774.88",95.4 ,123.48,1.654,1.8,,2007年6月,,,,,,,,,,
2007年5月,"17,396.30","17,875.75","17,203.03","17,875.75","1,704.01","1,757.09","1,686.84","1,755.68",95.6 ,121.63,1.734,1.7,,2007年5月,,,,,,,,,,
2007年4月,"17,346.25","17,782.08","16,999.05","17,400.41","1,719.78","1,743.50","1,682.49","1,701.00",95.3 ,119.41,1.594,1.9,,2007年4月,,,,,,,,,,
2007年3月,"17,542.23","17,558.04","16,532.91","17,287.65","1,754.46","1,755.70","1,656.74","1,713.61",95.0 ,118.05,1.622,1.3,,2007年3月,,,,,,,,,,
2007年2月,"17,377.03","18,300.39","17,199.66","17,604.12","1,722.66","1,823.89","1,712.28","1,752.74",94.7 ,118.59,1.625,1.2,,2007年2月,,,,,,,,,,
2007年1月,"17,322.50","17,617.64","16,758.46","17,383.42","1,692.94","1,749.18","1,650.82","1,721.96",95.2 ,121.34,1.602,1.5,,2007年1月,,,,,,,,,,
2006年12月,"16,313.02","17,301.69","16,185.92","17,225.83","1,606.27","1,685.76","1,594.72","1,681.07",95.4 ,118.92,1.563,1.7,,2006年12月,,,,,,,,,,
2006年11月,"16,338.72","16,512.51","15,615.56","16,274.33","1,615.58","1,629.29","1,526.37","1,603.03",95.3 ,116.12,1.638,1.9,,2006年11月,,,,,,,,,,
2006年10月,"16,169.00","16,901.53","16,028.32","16,399.39","1,614.82","1,672.02","1,596.24","1,617.42",95.8 ,117.74,1.499,2,,2006年10月,,,,,,,,,,
2006年9月,"16,072.81","16,414.94","15,513.87","16,127.58","1,628.70","1,655.27","1,546.03","1,610.73",96.0 ,118.05,1.449,2.7,,2006年9月,,,,,,,,,,
2006年8月,"15,387.52","16,244.84","15,154.06","16,140.76","1,568.46","1,645.43","1,540.12","1,634.46",96.0 ,117.23,1.545,2.6,,2006年8月,,,,,,,,,,
2006年7月,"15,573.35","15,710.39","14,437.24","15,456.81","1,593.15","1,606.86","1,473.59","1,572.01",95.3 ,114.47,1.448,2.5,,2006年7月,,,,,,,,,,
2006年6月,"15,603.25","15,789.31","14,045.53","15,505.18","1,596.14","1,606.11","1,439.00","1,586.96",95.6 ,114.66,1.367,2.5,,2006年6月,,,,,,,,,,
2006年5月,"16,929.83","17,375.25","15,442.53","15,467.33","1,716.01","1,763.76","1,574.45","1,579.94",95.6 ,111.85,1.363,2.3,,2006年5月,,,,,,,,,,
2006年4月,"17,127.61","17,563.37","16,750.50","16,906.23","1,735.44","1,783.72","1,700.15","1,716.43",95.3 ,114.32,1.292,1.7,,2006年4月,,,,,,,,,,
2006年3月,"16,026.82","17,125.64","15,553.14","17,059.66","1,645.06","1,735.25","1,595.93","1,728.16",95.1 ,117.47,1.374,2,,2006年3月,,,,,,,,,,
2006年2月,"16,594.90","16,777.37","15,389.58","16,205.43","1,704.88","1,719.17","1,568.50","1,660.42",94.9 ,116.35,1.428,2.2,,2006年2月,,,,,,,,,,
2006年1月,"16,294.65","16,754.60","15,059.52","16,649.82","1,666.75","1,721.92","1,538.85","1,710.77",95.2 ,117.18,1.395,2,,2006年1月,,,,,,,,,,
2005年12月,"14,914.75","16,445.56","14,880.18","16,111.43","1,541.19","1,673.18","1,538.99","1,649.76",95.1 ,117.48,1.296,2.3,,2005年12月,,,,,,,,,,
2005年11月,"13,606.50","15,013.24","13,606.50","14,872.15","1,444.73","1,553.27","1,444.73","1,536.21",95.0 ,119.46,1.391,2,,2005年11月,,,,,,,,,,
2005年10月,"13,566.20","13,783.60","12,996.29","13,606.50","1,412.89","1,447.45","1,363.66","1,444.73",95.4 ,115.67,1.341,2.1,,2005年10月,,,,,,,,,,
2005年9月,"12,501.43","13,678.44","12,498.40","13,574.30","1,279.31","1,430.80","1,274.63","1,412.28",95.4 ,113.28,1.311,1.8,,2005年9月,,,,,,,,,,
2005年8月,"11,907.42","12,612.16","11,614.71","12,413.60","1,207.41","1,283.23","1,174.16","1,271.29",95.1 ,111.42,1.404,1.8,,2005年8月,,,,,,,,,,
2005年7月,"11,573.37","11,913.50","11,540.93","11,899.60","1,177.08","1,207.48","1,174.92","1,204.98",95.0 ,112.18,1.395,1.6,,2005年7月,,,,,,,,,,
2005年6月,"11,220.94","11,594.57","11,148.36","11,584.01","1,140.16","1,179.18","1,137.60","1,177.20",95.1 ,110.37,1.427,1.4,,2005年6月,,,,,,,,,,
2005年5月,"10,954.21","11,302.52","10,788.59","11,276.59","1,126.44","1,154.25","1,108.67","1,144.33",95.5 ,108.17,1.407,1.8,,2005年5月,,,,,,,,,,
2005年4月,"11,590.45","11,911.90","10,770.58","11,008.90","1,176.16","1,202.46","1,104.30","1,129.93",95.4 ,105.87,1.415,1.9,,2005年4月,,,,,,,,,,
2005年3月,"11,734.14","11,975.46","11,506.85","11,668.95","1,175.94","1,206.93","1,165.26","1,182.18",95.3 ,106.97,1.324,1.4,,2005年3月,,,,,,,,,,
2005年2月,"11,422.02","11,754.90","11,271.04","11,740.60","1,149.25","1,177.41","1,137.23","1,177.41",95.0 ,104.58,1.551,1.3,,2005年2月,,,,,,,,,,
2005年1月,"11,458.27","11,580.69","11,212.63","11,387.59","1,147.24","1,158.43","1,128.75","1,146.14",95.3 ,103.58,1.553,1.4,,2005年1月,,,,,,,,,,
