日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
1986年7月,,,,,,,,,84.2 ,154.15,,-4.9,,1986年7月,,,,,,,,,,
1986年6月,,,,,,,,,84.4 ,163.95,,-4.5,,1986年6月,,,,,,,,,,
1986年5月,,,,,,,,,84.8 ,172.05,,-4.1,,1986年5月,,,,,,,,,,
1986年4月,,,,,,,,,84.6 ,168.1,,-4.3,,1986年4月,,,,,,,,,,
1986年3月,,,,,,,,,84.3 ,179.65,,-3.6,,1986年3月,,,,,,,,,,
1986年2月,,,,,,,,,84.4 ,180.45,,-3.6,,1986年2月,,,,,,,,,,
1986年1月,,,,,,,,,84.5 ,192.65,,-3.1,,1986年1月,,,,,,,,,,
1985年12月,,,,,,,,,84.2 ,200.6,,-2,,1985年12月,,,,,,,,,,
1985年11月,,,,,,,,,84.1 ,202.05,,-1.8,,1985年11月,,,,,,,,,,
1985年10月,,,,,,,,,84.8 ,211.8,,-1.5,,1985年10月,,,,,,,,,,
1985年9月,,,,,,,,,84.0 ,216,,-1.3,,1985年9月,,,,,,,,,,
1985年8月,,,,,,,,,83.9 ,237.1,,-1,,1985年8月,,,,,,,,,,
1985年7月,,,,,,,,,84.1 ,236.65,,-0.8,,1985年7月,,,,,,,,,,
1985年6月,,,,,,,,,83.9 ,248.95,,-0.6,,1985年6月,,,,,,,,,,
1985年5月,,,,,,,,,83.9 ,251.78,,-0.6,,1985年5月,,,,,,,,,,
1985年4月,,,,,,,,,83.8 ,251.4,,-0.3,,1985年4月,,,,,,,,,,
1985年3月,,,,,,,,,83.2 ,250.7,,-0.3,,1985年3月,,,,,,,,,,
1985年2月,,,,,,,,,82.9 ,259,,0,,1985年2月,,,,,,,,,,
1985年1月,,,,,,,,,83.2 ,254.78,,0.1,,1985年1月,,,,,,,,,,
1984年12月,,,,,,,,,83.0 ,251.58,,0.1,,1984年12月,,,,,,,,,,
1984年11月,,,,,,,,,82.8 ,246.5,,0.3,,1984年11月,,,,,,,,,,
1984年10月,,,,,,,,,83.2 ,245.3,,0.4,,1984年10月,,,,,,,,,,
1984年9月,,,,,,,,,82.7 ,245.4,,0.6,,1984年9月,,,,,,,,,,
1984年8月,,,,,,,,,81.4 ,241.7,,0.7,,1984年8月,,,,,,,,,,
1984年7月,,,,,,,,,82.1 ,245.45,,0.1,,1984年7月,,,,,,,,,,
1984年6月,,,,,,,,,81.9 ,237.45,,0.1,,1984年6月,,,,,,,,,,
1984年5月,,,,,,,,,82.5 ,231.63,,0.2,,1984年5月,,,,,,,,,,
1984年4月,,,,,,,,,81.9 ,226.3,,0.3,,1984年4月,,,,,,,,,,
1984年3月,,,,,,,,,81.7 ,224.75,,-0.4,,1984年3月,,,,,,,,,,
1984年2月,,,,,,,,,81.6 ,233.28,,-0.5,,1984年2月,,,,,,,,,,
1984年1月,,,,,,,,,81.1 ,234.74,,-0.7,,1984年1月,,,,,,,,,,
1983年12月,,,,,,,,,80.8 ,232,,-0.9,,1983年12月,,,,,,,,,,
1983年11月,,,,,,,,,81.1 ,234.2,,-1.2,,1983年11月,,,,,,,,,,
1983年10月,,,,,,,,,81.5 ,233.65,,-1.2,,1983年10月,,,,,,,,,,
1983年9月,,,,,,,,,80.8 ,236.1,,-1.3,,1983年9月,,,,,,,,,,
1983年8月,,,,,,,,,79.9 ,246.75,,-1.3,,1983年8月,,,,,,,,,,
1983年7月,,,,,,,,,80.1 ,241.5,,-0.4,,1983年7月,,,,,,,,,,
1983年6月,,,,,,,,,80.4 ,239.8,,-0.4,,1983年6月,,,,,,,,,,
1983年5月,,,,,,,,,80.9 ,238.6,,-0.6,,1983年5月,,,,,,,,,,
1983年4月,,,,,,,,,80.1 ,237.7,,-1,,1983年4月,,,,,,,,,,
1983年3月,,,,,,,,,79.7 ,239.3,,-0.1,,1983年3月,,,,,,,,,,
1983年2月,,,,,,,,,79.3 ,235.55,,0,,1983年2月,,,,,,,,,,
1983年1月,,,,,,,,,79.6 ,238.4,,0,,1983年1月,,,,,,,,,,
1982年12月,,,,,,,,,79.5 ,235.3,,0,,1982年12月,,,,,,,,,,
1982年11月,,,,,,,,,79.6 ,253.45,,0.2,,1982年11月,,,,,,,,,,
1982年10月,,,,,,,,,80.3 ,277.4,,0.3,,1982年10月,,,,,,,,,,
1982年9月,,,,,,,,,80.1 ,269.4,,0.3,,1982年9月,,,,,,,,,,
1982年8月,,,,,,,,,78.9 ,259.6,,0.4,,1982年8月,,,,,,,,,,
1982年7月,,,,,,,,,78.3 ,256.65,,0.4,,1982年7月,,,,,,,,,,
1982年6月,,,,,,,,,78.8 ,255.55,,0.4,,1982年6月,,,,,,,,,,
1982年5月,,,,,,,,,78.8 ,243.7,,0.5,,1982年5月,,,,,,,,,,
1982年4月,,,,,,,,,78.5 ,236.3,,1.1,,1982年4月,,,,,,,,,,
1982年3月,,,,,,,,,77.9 ,248.3,,1.1,,1982年3月,,,,,,,,,,
1982年2月,,,,,,,,,77.8 ,235.2,,0.9,,1982年2月,,,,,,,,,,
1982年1月,,,,,,,,,77.9 ,228.45,,0.4,,1982年1月,,,,,,,,,,
1981年12月,,,,,,,,,77.9 ,220.25,,0.3,,1981年12月,,,,,,,,,,
1981年11月,,,,,,,,,77.8 ,214.15,,0.2,,1981年11月,,,,,,,,,,
1981年10月,,,,,,,,,77.9 ,233.35,,-0.1,,1981年10月,,,,,,,,,,
1981年9月,,,,,,,,,77.6 ,231.55,,-0.3,,1981年9月,,,,,,,,,,
1981年8月,,,,,,,,,76.5 ,228.75,,-0.5,,1981年8月,,,,,,,,,,
1981年7月,,,,,,,,,76.8 ,239.75,,-0.4,,1981年7月,,,,,,,,,,
1981年6月,,,,,,,,,77.0 ,225.75,,-0.2,,1981年6月,,,,,,,,,,
1981年5月,,,,,,,,,76.9 ,223.5,,0.3,,1981年5月,,,,,,,,,,
1981年4月,,,,,,,,,76.2 ,215,,0.8,,1981年4月,,,,,,,,,,
1981年3月,,,,,,,,,75.6 ,211.4,,3.8,,1981年3月,,,,,,,,,,
1981年2月,,,,,,,,,75.4 ,208.85,,5.7,,1981年2月,,,,,,,,,,
1981年1月,,,,,,,,,75.5 ,205.2,,8.1,,1981年1月,,,,,,,,,,
1980年12月,,,,,,,,,74.7 ,203.6,,10.4,,1980年12月,,,,,,,,,,
1980年11月,,,,,,,,,74.9 ,216.75,,11.8,,1980年11月,,,,,,,,,,
1980年10月,,,,,,,,,74.8 ,211.75,,12.9,,1980年10月,,,,,,,,,,
1980年9月,,,,,,,,,74.6 ,212,,14.4,,1980年9月,,,,,,,,,,
1980年8月,,,,,,,,,73.4 ,219.2,,15.5,,1980年8月,,,,,,,,,,
1980年7月,,,,,,,,,73.6 ,226.85,,16,,1980年7月,,,,,,,,,,
1980年6月,,,,,,,,,73.5 ,218.15,,17.7,,1980年6月,,,,,,,,,,
1980年5月,,,,,,,,,73.2 ,224.4,,18.4,,1980年5月,,,,,,,,,,
1980年4月,,,,,,,,,72.6 ,238.3,,18.5,,1980年4月,,,,,,,,,,
1980年3月,,,,,,,,,71.3 ,249.7,,16.3,,1980年3月,,,,,,,,,,
1980年2月,,,,,,,,,70.9 ,249.8,,15.2,,1980年2月,,,,,,,,,,
1980年1月,,,,,,,,,70.3 ,238.8,,13.8,,1980年1月,,,,,,,,,,
1979年12月,,,,,,,,,69.7 ,238.8,,13.8,,1979年12月,,,,,,,,,,
,,,,,,,,,69.2 ,,,,,1979年11月,,,,,,,,,,
,,,,,,,,,69.5 ,,,,,1979年10月,,,,,,,,,,
,,,,,,,,,68.7 ,,,,,1979年9月,,,,,,,,,,
,,,,,,,,,67.8 ,,,,,1979年8月,,,,,,,,,,
,,,,,,,,,68.5 ,,,,,1979年7月,,,,,,,,,,
,,,,,,,,,67.9 ,,,,,1979年6月,,,,,,,,,,
,,,,,,,,,67.8 ,,,,,1979年5月,,,,,,,,,,
,,,,,,,,,67.2 ,,,,,1979年4月,,,,,,,,,,
,,,,,,,,,66.4 ,,,,,1979年3月,,,,,,,,,,
,,,,,,,,,65.8 ,,,,,1979年2月,,,,,,,,,,
,,,,,,,,,66.0 ,,,,,1979年1月,,,,,,,,,,
,,,,,,,,,65.9 ,,,,,1978年12月,,,,,,,,,,
,,,,,,,,,66.0 ,,,,,1978年11月,,,,,,,,,,
,,,,,,,,,66.6 ,,,,,1978年10月,,,,,,,,,,
,,,,,,,,,66.5 ,,,,,1978年9月,,,,,,,,,,
,,,,,,,,,65.8 ,,,,,1978年8月,,,,,,,,,,
,,,,,,,,,65.6 ,,,,,1978年7月,,,,,,,,,,
,,,,,,,,,65.4 ,,,,,1978年6月,,,,,,,,,,
,,,,,,,,,65.7 ,,,,,1978年5月,,,,,,,,,,
,,,,,,,,,65.3 ,,,,,1978年4月,,,,,,,,,,
,,,,,,,,,64.6 ,,,,,1978年3月,,,,,,,,,,
,,,,,,,,,64.1 ,,,,,1978年2月,,,,,,,,,,
,,,,,,,,,63.7 ,,,,,1978年1月,,,,,,,,,,
,,,,,,,,,63.5 ,,,,,1977年12月,,,,,,,,,,
,,,,,,,,,63.6 ,,,,,1977年11月,,,,,,,,,,
,,,,,,,,,64.3 ,,,,,1977年10月,,,,,,,,,,
,,,,,,,,,63.9 ,,,,,1977年9月,,,,,,,,,,
,,,,,,,,,62.9 ,,,,,1977年8月,,,,,,,,,,
,,,,,,,,,62.8 ,,,,,1977年7月,,,,,,,,,,
,,,,,,,,,63.0 ,,,,,1977年6月,,,,,,,,,,
,,,,,,,,,63.2 ,,,,,1977年5月,,,,,,,,,,
,,,,,,,,,62.6 ,,,,,1977年4月,,,,,,,,,,
,,,,,,,,,61.6 ,,,,,1977年3月,,,,,,,,,,
,,,,,,,,,61.3 ,,,,,1977年2月,,,,,,,,,,
,,,,,,,,,60.9 ,,,,,1977年1月,,,,,,,,,,
,,,,,,,,,60.4 ,,,,,1976年12月,,,,,,,,,,
,,,,,,,,,59.7 ,,,,,1976年11月,,,,,,,,,,
,,,,,,,,,59.7 ,,,,,1976年10月,,,,,,,,,,
,,,,,,,,,59.4 ,,,,,1976年9月,,,,,,,,,,
,,,,,,,,,57.9 ,,,,,1976年8月,,,,,,,,,,
,,,,,,,,,58.3 ,,,,,1976年7月,,,,,,,,,,
,,,,,,,,,57.9 ,,,,,1976年6月,,,,,,,,,,
,,,,,,,,,57.8 ,,,,,1976年5月,,,,,,,,,,
,,,,,,,,,57.6 ,,,,,1976年4月,,,,,,,,,,
,,,,,,,,,56.3 ,,,,,1976年3月,,,,,,,,,,
,,,,,,,,,56.1 ,,,,,1976年2月,,,,,,,,,,
,,,,,,,,,55.7 ,,,,,1976年1月,,,,,,,,,,
,,,,,,,,,54.7 ,,,,,1975年12月,,,,,,,,,,
,,,,,,,,,54.7 ,,,,,1975年11月,,,,,,,,,,
,,,,,,,,,54.9 ,,,,,1975年10月,,,,,,,,,,
,,,,,,,,,54.1 ,,,,,1975年9月,,,,,,,,,,
,,,,,,,,,52.9 ,,,,,1975年8月,,,,,,,,,,
,,,,,,,,,53.1 ,,,,,1975年7月,,,,,,,,,,
,,,,,,,,,52.9 ,,,,,1975年6月,,,,,,,,,,
,,,,,,,,,52.9 ,,,,,1975年5月,,,,,,,,,,
,,,,,,,,,52.6 ,,,,,1975年4月,,,,,,,,,,
,,,,,,,,,51.7 ,,,,,1975年3月,,,,,,,,,,
,,,,,,,,,51.3 ,,,,,1975年2月,,,,,,,,,,
,,,,,,,,,51.2 ,,,,,1975年1月,,,,,,,,,,
,,,,,,,,,50.6 ,,,,,1974年12月,,,,,,,,,,
,,,,,,,,,50.5 ,,,,,1974年11月,,,,,,,,,,
,,,,,,,,,50.1 ,,,,,1974年10月,,,,,,,,,,
,,,,,,,,,49.0 ,,,,,1974年9月,,,,,,,,,,
,,,,,,,,,48.3 ,,,,,1974年8月,,,,,,,,,,
,,,,,,,,,47.8 ,,,,,1974年7月,,,,,,,,,,
,,,,,,,,,46.9 ,,,,,1974年6月,,,,,,,,,,
,,,,,,,,,46.6 ,,,,,1974年5月,,,,,,,,,,
,,,,,,,,,46.4 ,,,,,1974年4月,,,,,,,,,,
,,,,,,,,,45.3 ,,,,,1974年3月,,,,,,,,,,
,,,,,,,,,45.0 ,,,,,1974年2月,,,,,,,,,,
,,,,,,,,,43.6 ,,,,,1974年1月,,,,,,,,,,
,,,,,,,,,41.8 ,,,,,1973年12月,,,,,,,,,,
,,,,,,,,,40.5 ,,,,,1973年11月,,,,,,,,,,
,,,,,,,,,40.2 ,,,,,1973年10月,,,,,,,,,,
,,,,,,,,,40.0 ,,,,,1973年9月,,,,,,,,,,
,,,,,,,,,38.9 ,,,,,1973年8月,,,,,,,,,,
,,,,,,,,,38.6 ,,,,,1973年7月,,,,,,,,,,
,,,,,,,,,38.3 ,,,,,1973年6月,,,,,,,,,,
,,,,,,,,,38.2 ,,,,,1973年5月,,,,,,,,,,
,,,,,,,,,37.6 ,,,,,1973年4月,,,,,,,,,,
,,,,,,,,,36.9 ,,,,,1973年3月,,,,,,,,,,
,,,,,,,,,36.0 ,,,,,1973年2月,,,,,,,,,,
,,,,,,,,,35.7 ,,,,,1973年1月,,,,,,,,,,
,,,,,,,,,35.4 ,,,,,1972年12月,,,,,,,,,,
,,,,,,,,,35.1 ,,,,,1972年11月,,,,,,,,,,
,,,,,,,,,35.2 ,,,,,1972年10月,,,,,,,,,,
,,,,,,,,,35.0 ,,,,,1972年9月,,,,,,,,,,
,,,,,,,,,34.8 ,,,,,1972年8月,,,,,,,,,,
,,,,,,,,,34.5 ,,,,,1972年7月,,,,,,,,,,
,,,,,,,,,34.5 ,,,,,1972年6月,,,,,,,,,,
,,,,,,,,,34.5 ,,,,,1972年5月,,,,,,,,,,
,,,,,,,,,34.4 ,,,,,1972年4月,,,,,,,,,,
,,,,,,,,,34.0 ,,,,,1972年3月,,,,,,,,,,
,,,,,,,,,33.7 ,,,,,1972年2月,,,,,,,,,,
,,,,,,,,,33.5 ,,,,,1972年1月,,,,,,,,,,
,,,,,,,,,33.5 ,,,,,1971年12月,,,,,,,,,,
,,,,,,,,,33.5 ,,,,,1971年11月,,,,,,,,,,
,,,,,,,,,33.8 ,,,,,1971年10月,,,,,,,,,,
,,,,,,,,,33.7 ,,,,,1971年9月,,,,,,,,,,
,,,,,,,,,32.9 ,,,,,1971年8月,,,,,,,,,,
,,,,,,,,,32.9 ,,,,,1971年7月,,,,,,,,,,
,,,,,,,,,32.9 ,,,,,1971年6月,,,,,,,,,,
,,,,,,,,,32.8 ,,,,,1971年5月,,,,,,,,,,
,,,,,,,,,32.7 ,,,,,1971年4月,,,,,,,,,,
,,,,,,,,,32.3 ,,,,,1971年3月,,,,,,,,,,
,,,,,,,,,32.2 ,,,,,1971年2月,,,,,,,,,,
,,,,,,,,,32.2 ,,,,,1971年1月,,,,,,,,,,
,,,,,,,,,31.9 ,,,,,1970年12月,,,,,,,,,,
,,,,,,,,,31.7 ,,,,,1970年11月,,,,,,,,,,
,,,,,,,,,31.7 ,,,,,1970年10月,,,,,,,,,,
,,,,,,,,,31.2 ,,,,,1970年9月,,,,,,,,,,
,,,,,,,,,30.7 ,,,,,1970年8月,,,,,,,,,,
,,,,,,,,,30.8 ,,,,,1970年7月,,,,,,,,,,
,,,,,,,,,30.8 ,,,,,1970年6月,,,,,,,,,,
,,,,,,,,,30.8 ,,,,,1970年5月,,,,,,,,,,
,,,,,,,,,30.9 ,,,,,1970年4月,,,,,,,,,,
,,,,,,,,,30.6 ,,,,,1970年3月,,,,,,,,,,
,,,,,,,,,30.3 ,,,,,1970年2月,,,,,,,,,,
,,,,,,,,,30.3 ,,,,,1970年1月,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
